Date,BKNG ,AMGN ,VNO ,MA ,VRTX ,HRB ,COG ,ORLY ,LLY ,CPRT ,QCOM ,BIIB ,TXN ,MCO ,V ,EBAY ,AAPL ,NKE ,MSFT ,MNST 
2018-12-10,1826.0100100000002,188.361832,67.372238,196.963974,173.779999,26.752292999999998,24.867781,338.059998,111.57116699999999,48.34,55.19989,319.440002,91.241447,144.277802,137.000916,28.5488,167.089478,71.75013,106.02233899999999,56.950001
2018-12-11,1852.3499760000002,190.390152,67.208969,196.64573700000003,173.229996,26.637146,24.769451,342.570007,111.97213,48.560001,55.305965,319.790009,91.96126600000001,143.941238,135.93774399999998,28.617758000000002,166.13385,72.79900400000001,107.007774,57.580002
2018-12-12,1856.1500239999998,190.613358,65.72994200000001,199.18161,175.449997,26.905821000000003,24.041803,353.630005,111.815651,49.259997999999996,55.662785,322.609985,93.196617,146.93071,136.921432,28.607906,166.596878,73.541145,107.49063899999999,57.439999
2018-12-13,1833.069946,191.70031699999998,66.104507,197.858994,173.419998,25.936672,23.717316,354.559998,112.324173,49.380001,56.019592,320.140015,93.2258,147.44545,136.663071,28.588205,168.419479,72.16571,107.85524,53.43
2018-12-14,1807.140015,186.401443,65.65310699999999,194.249084,170.059998,25.888695000000002,22.920834,348.170013,109.45886999999999,48.040001000000004,55.566345,314.549988,91.688896,144.050125,134.228714,28.479843,163.030457,71.76990500000001,104.485077,52.689999
2018-12-17,1739.52002,184.47018400000002,63.194485,189.396088,166.169998,25.169031,22.232521,340.940002,105.96768200000001,47.189999,54.968444999999996,313.100006,89.41272,139.961807,130.56221000000002,28.056238,161.51326,69.167465,101.390823,51.25
2018-12-18,1769.4200440000002,181.578125,63.655471999999996,190.549652,163.429993,24.967527,22.566845,344.100006,104.14874300000001,46.959998999999996,55.720645999999995,294.75,91.96126600000001,140.76364099999998,131.814209,28.075940999999997,163.61174,70.40436600000001,102.455093,51.23
2018-12-19,1736.630005,180.015656,61.974766,186.084488,158.66000400000001,24.08474,22.183355,340.390015,106.701126,47.040001000000004,54.669487,292.690002,88.060638,138.090912,130.423111,27.87892,158.508408,68.247215,102.179176,49.439999
2018-12-20,1705.180054,179.501297,60.918327000000005,181.698914,161.300003,23.5282,22.055529,332.690002,106.877151,46.860001000000004,54.360896999999994,292.329987,87.632637,135.28949,127.93905600000001,27.573529999999998,154.508499,66.822304,100.030937,49.209998999999996
2018-12-21,1633.390015,174.891495,59.852276,174.220505,156.5,22.971659,22.429182,330.570007,107.004272,45.900002,52.89506899999999,280.600006,87.943924,131.240814,123.467758,26.184509,148.498795,71.611588,96.79872900000001,48.23
2018-12-24,1616.829956,173.134903,57.80661800000001,173.683487,151.91000400000001,22.674198,21.790035,327.410004,104.393227,44.939999,51.737843,278.5,85.405113,128.043442,120.95388799999999,25.751054999999997,144.65653999999998,67.38633,92.758461,47.950001
2018-12-26,1703.25,182.315704,59.737030000000004,185.398315,161.83999599999999,23.835257000000002,23.196158999999998,344.450012,108.637405,47.43,53.965515,295.170013,90.44381700000001,135.269699,129.399689,27.435614,154.843475,72.244881,99.09477199999999,49.099998
2018-12-27,1717.800049,184.712799,59.400887,187.645828,162.369995,24.10393,23.373155999999998,343.119995,110.397659,47.82,54.090881,294.410004,91.251175,138.53637700000002,131.16835,27.612935999999998,153.83856200000002,72.89795699999999,99.705742,49.439999
2018-12-28,1715.8299559999998,185.100998,59.650597,185.129807,161.419998,24.209478,22.566845,342.100006,111.67874099999999,47.52,54.785217,293.519989,91.251175,137.942429,130.105164,27.819810999999998,153.917389,72.571411,98.927246,49.040001000000004
2018-12-31,1722.4200440000002,188.92472800000002,59.573753,187.606018,165.71000700000002,24.343819,21.976862,344.329987,113.16518400000001,47.779999,54.881653,300.920013,91.92235600000001,138.625458,131.09878500000002,27.652340000000002,155.405045,73.363029,100.090057,49.220001
2019-01-02,1721.699951,186.23646499999998,57.969887,188.69001799999998,164.080002,24.545322,23.137163,341.149994,112.343727,47.68,55.354191,304.690002,91.87371800000001,139.427277,132.072525,28.420734000000003,155.582367,73.283867,99.646614,48.759997999999996
2019-01-03,1663.119995,183.402634,57.816223,180.177368,163.729996,23.691323999999998,22.989666,346.130005,108.852554,46.889998999999996,53.714775,307.0,86.45564300000001,134.804443,127.31308700000001,27.898621000000002,140.08522,71.98761,95.98082,48.0
2019-01-04,1717.550049,189.67201200000002,58.786228,188.709885,172.699997,24.430178,22.743839,341.820007,112.128593,48.560001,54.582694999999994,318.329987,90.365997,141.83273300000002,132.79788200000002,28.53895,146.06535300000002,73.867699,100.444817,49.790001000000004
2019-01-07,1711.819946,192.22438,59.909901,190.161819,175.850006,24.276648,23.668146,339.690002,112.734894,48.830002,54.428398,322.399994,91.92235600000001,142.357376,135.19252,29.031507,145.740265,74.92648299999999,100.57292199999999,49.73
2019-01-08,1686.9200440000002,194.68940700000002,61.48495500000001,191.54650900000001,178.190002,24.420582,24.012304,336.070007,113.7715,49.630001,53.955868,324.440002,91.80561800000001,144.42627,135.92781100000002,29.553622999999998,148.518509,75.925896,101.302139,52.830002
2019-01-09,1649.48999,194.456482,61.57139599999999,195.023193,182.300003,24.641279,23.45182,343.540009,114.622299,50.299999,54.592342,326.630005,93.614891,144.911316,137.52754199999998,29.839308000000003,151.040604,75.78735400000001,102.75071700000001,53.330002
2019-01-10,1677.329956,196.698303,62.454967,196.198685,186.029999,24.564514000000003,23.717316,343.440002,113.380325,50.599998,54.775574,331.190002,95.05452,147.534561,137.785873,30.115143,151.523376,75.619141,102.090485,53.259997999999996
